Name,Dia (in),Width,Height + .2
41/64 in,0.6406,3.33112,7.325
16.5 mm,0.6496,3.37792,7.444094488
21/32 in,0.6562,3.41224,7.325
17 mm,0.6693,3.48036,7.444094488
43/64 in,0.6719,3.49388,7.825
11/16 in,0.6875,3.575,7.825
17.5 mm,0.6890,3.5828,7.719685039
18 mm,0.7087,3.68524,7.719685039
18.5 mm,0.7283,3.78716,7.995275591
19 mm,0.7480,3.8896,7.995275591
19.5 mm,0.7677,3.99204,8.270866142
20 mm,0.7874,4.09448,8.270866142
